id,name,city,area,locality,address,avg_rating,has_rating,cost_for_two,ratings_count_min,cuisines_raw,has_cuisine_data,delivery_time,veg,type,rating_tier,cost_tier,delivery_speed,ratings_bucket,primary_cuisine,cuisine_count
328315,HIIT Meals,Ahmedabad,Vishala,Vasna,C11 Rajyash Rise Near Vishala Restaurant Vasna AhmedabadGujarat-380007,,f,150,,['Fast Food' 'Combo' 'Snacks' 'North Indian' 'Street Food' 'Beverages' 'Desserts'],t,51,f,F,Unrated,Budget,Slow,Insufficient,Fast Food,7
108879,Jay Jalaram Parotha House,Ahmedabad,Ellisbridge,Ashram Road,Capital Commercial Centre Near UCO Bank Ashram Road Ahmedabad,3.9,t,250,100,['North Indian'],t,29,t,F,Average,Affordable,Fast,100-500,North Indian,1
140314,Jalaram Parotha House,Ahmedabad,Paldi,Paldi,1214 Sahjanand Trade Centre Opposite Kothawala Flats Besides Sharma Musical Pritamnagar Paldi Ahmedabad,3.9,t,450,20,['North Indian' 'Gujarati'],t,28,t,F,Average,Mid-range,Fast,Under 50,North Indian,2
270210,Cake Dengo Cake Shop,Ahmedabad,Drive In Road,Gurukul rod,Unit No 11-12 Gokul Complex Opp Gurukul Mandir Drive In Road Memnagar Thaltej(New West Zone) Ahmedabad Municipal Corporation Ahmedabad Gujarat - 380052,4.1,t,500,100,['Desserts'],t,50,f,F,Good,Mid-range,Slow,100-500,Desserts,1
47788,The Westend Hotel (Mayflower),Ahmedabad,Ellisbridge,Ellisbridge,Hotel The Westend Gujarat College Road Ellis Bridge Ahmedabad,4.4,t,450,100,['Indian' 'Chinese'],t,27,f,F,Excellent,Mid-range,Fast,100-500,Indian,2
58425,Modi Sandwich And Pizza-Paldi,Ahmedabad,Paldi,Paldi,1 Abhishek Bhatta Paldi Ahmedabad,3.9,t,250,1000,['Fast Food' 'Beverages'],t,33,t,F,Average,Affordable,Average,1K-10K,Fast Food,2
180360,Sugarless Life,Ahmedabad,Navrangpura,Navrangpura,Dynamic house vijay cross road beside hdfc bank,4.2,t,250,100,['Desserts' 'Sweets' 'Combo' 'Italian' 'Pizzas' 'Snacks'],t,36,f,F,Good,Affordable,Average,100-500,Desserts,6
99297,Pickmeal,Ahmedabad,Paldi,Ellisbridge,Hotel Pinnacle opposite townhall Ellisbridge.,4.2,t,500,100,['Indian'],t,28,f,F,Good,Mid-range,Fast,100-500,Indian,1
52712,Decent Restaurant,Ahmedabad,Paldi,Navrangpura,1st Floor Badshah Chambers Opposite Town Hall Ellis Bridge Ahmedabad,,f,650,,['North Indian' 'Chinese'],t,36,f,F,Unrated,Mid-range,Average,Insufficient,North Indian,2
40844,Hocco Eatery,Ahmedabad,Gulbai Tekra,Panchvati,Havmor Panchvati C.G.Road Ahmedabad - 380006,4.4,t,400,50,['North Indian' 'Pizzas'],t,29,t,F,Excellent,Mid-range,Fast,50-100,North Indian,2
395939,KFC,Ahmedabad,Paldi & Ambawadi,Panchwati Cross,KFC- CG Road - GF 7 Ground Floor  3rd Eye Two Near Panchwati Cross Road CG Road Ahmedabad 380009,4.2,t,400,500,['American' 'Fast Food' 'Snacks'],t,37,f,F,Good,Mid-range,Average,500-1K,American,3
59439,Vadilal Scoop shop,Ahmedabad,Paldi,Ellis Bridge,Opposite VS Hospital Near Pavan Travels Ellis Bridge Ahmedabad,4.4,t,300,20,['Ice Cream' 'Desserts'],t,24,f,F,Excellent,Affordable,Fast,Under 50,Ice Cream,2
252004,Om Food Center - Vastrapur Lake,Ahmedabad,Vastrapur,Vastrapur,Shop no. 6 Himalayan arcade-A Opp. Vastrapur lake Vastrapur Ahmedabad- 380015,4.1,t,200,100,['Indian' 'North Indian' 'Punjabi' 'Gujarati' 'Thalis' 'Combo'],t,44,f,F,Good,Affordable,Average,100-500,Indian,6
53268,Alpine Restaurant & Banquet,Ahmedabad,Paldi,Ellis Bridge,Rangoli Complex Opposite V.S. Hospital,,f,800,,['Indian' 'Chinese'],t,32,t,F,Unrated,Premium,Average,Insufficient,Indian,2
63469,Udupi Shree Darshini Restaurant,Ahmedabad,Ellisbridge,Ellis Bridge,Ellis Bridge Shopping Center Near Town Hall Ellis Bridge Ahmedabad,4.4,t,300,500,['South Indian'],t,28,t,F,Excellent,Affordable,Fast,500-1K,South Indian,1
37733,Sweet Truth - Cake and Desserts,Ahmedabad,Vastrapur,HOTEL SHAHI PALACE,SHOP NO 2 HOTEL SHAHI PALACE VASTRAPUR LAKE AHMEDABAD GUJARAT,4.2,t,450,100,['Ice Cream' 'Bakery' 'Desserts' 'Beverages'],t,44,f,F,Good,Mid-range,Average,100-500,Ice Cream,4
390395,Radhanand Restaurant,Ahmedabad,Paldi & Ambawadi,Paldi & Ambawadi,old daliya building opp.town hall karnavti hospital road ellisbridge  Ahmedabad-380006,,f,200,,['Chinese' 'Punjabi' 'Rajasthani'],t,34,f,F,Unrated,Affordable,Average,Insufficient,Chinese,3
